date,sku_id,demand,price,promotion
1/1/2024,SKU_001,124,193.31,0
1/2/2024,SKU_001,203,166.92,1
1/3/2024,SKU_001,125,202.75,0
1/4/2024,SKU_001,111,196.4,0
1/5/2024,SKU_001,108,194.44,0
1/6/2024,SKU_001,167,201.35,0
1/7/2024,SKU_001,159,200.54,0
1/8/2024,SKU_001,111,203.51,0
1/9/2024,SKU_001,134,201.81,0
1/10/2024,SKU_001,120,202.62,0
1/11/2024,SKU_001,134,196.4,0
1/12/2024,SKU_001,228,172,1
1/13/2024,SKU_001,180,195.15,0
1/14/2024,SKU_001,173,201.99,0
1/15/2024,SKU_001,117,202.66,0
1/16/2024,SKU_001,128,204.86,0
1/17/2024,SKU_001,128,197.96,0
1/18/2024,SKU_001,136,197.47,0
1/19/2024,SKU_001,111,202.3,0
1/20/2024,SKU_001,166,197.1,0
1/21/2024,SKU_001,166,204.14,0
1/22/2024,SKU_001,103,203.28,0
1/23/2024,SKU_001,111,198.15,0
1/24/2024,SKU_001,101,202,0
1/25/2024,SKU_001,130,202.04,0
1/26/2024,SKU_001,144,194.26,0
1/27/2024,SKU_001,186,203.81,0
1/28/2024,SKU_001,176,199.06,0
1/29/2024,SKU_001,149,202.9,0
1/30/2024,SKU_001,123,196.85,0
1/31/2024,SKU_001,116,203.72,0
2/1/2024,SKU_001,123,197.68,0
2/2/2024,SKU_001,130,193.16,0
2/3/2024,SKU_001,269,168.32,1
2/4/2024,SKU_001,274,170.06,1
2/5/2024,SKU_001,120,203.84,0
2/6/2024,SKU_001,114,194.12,0
2/7/2024,SKU_001,131,196.84,0
2/8/2024,SKU_001,125,204.37,0
2/9/2024,SKU_001,112,204.38,0
2/10/2024,SKU_001,156,199.88,0
2/11/2024,SKU_001,150,200.57,0
2/12/2024,SKU_001,124,198.38,0
2/13/2024,SKU_001,215,177.94,1
2/14/2024,SKU_001,116,196.53,0
2/15/2024,SKU_001,130,196.95,0
2/16/2024,SKU_001,119,201.06,0
2/17/2024,SKU_001,153,202.01,0
2/18/2024,SKU_001,159,202.48,0
2/19/2024,SKU_001,113,202.46,0
2/20/2024,SKU_001,231,166.88,1
2/21/2024,SKU_001,116,194.12,0
2/22/2024,SKU_001,234,178.33,1
2/23/2024,SKU_001,126,198.93,0
2/24/2024,SKU_001,160,193.72,0
2/25/2024,SKU_001,320,177.22,1
2/26/2024,SKU_001,137,199.59,0
2/27/2024,SKU_001,137,198.3,0
2/28/2024,SKU_001,142,203.63,0
2/29/2024,SKU_001,147,197.22,0
3/1/2024,SKU_001,123,194.43,0
3/2/2024,SKU_001,161,194.74,0
3/3/2024,SKU_001,159,202.12,0
3/4/2024,SKU_001,104,200.41,0
3/5/2024,SKU_001,114,194.24,0
3/6/2024,SKU_001,142,194.03,0
3/7/2024,SKU_001,141,201.4,0
3/8/2024,SKU_001,127,193.9,0
3/9/2024,SKU_001,168,202.84,0
3/10/2024,SKU_001,323,163.1,1
3/11/2024,SKU_001,155,201.46,0
3/12/2024,SKU_001,141,194,0
3/13/2024,SKU_001,129,194.04,0
3/14/2024,SKU_001,115,204.81,0
3/15/2024,SKU_001,113,197.5,0
3/16/2024,SKU_001,169,197.46,0
3/17/2024,SKU_001,156,202.73,0
3/18/2024,SKU_001,111,204.34,0
3/19/2024,SKU_001,119,204.8,0
3/20/2024,SKU_001,116,202.03,0
3/21/2024,SKU_001,145,197.52,0
3/22/2024,SKU_001,139,194.03,0
3/23/2024,SKU_001,164,202.31,0
3/24/2024,SKU_001,181,199.7,0
3/25/2024,SKU_001,143,198.1,0
3/26/2024,SKU_001,130,203.85,0
3/27/2024,SKU_001,159,194.36,0
3/28/2024,SKU_001,147,198.91,0
3/29/2024,SKU_001,135,193.17,0
3/30/2024,SKU_001,183,198.63,0
3/31/2024,SKU_001,180,193.7,0
4/1/2024,SKU_001,118,194.45,0
4/2/2024,SKU_001,141,194.43,0
4/3/2024,SKU_001,147,200.78,0
4/4/2024,SKU_001,115,201.94,0
4/5/2024,SKU_001,134,200,0
4/6/2024,SKU_001,159,204.52,0
4/7/2024,SKU_001,165,197.51,0
4/8/2024,SKU_001,126,196.44,0
4/9/2024,SKU_001,119,203.4,0
4/10/2024,SKU_001,132,195.7,0
4/11/2024,SKU_001,119,204.53,0
4/12/2024,SKU_001,136,193.18,0
4/13/2024,SKU_001,165,204.61,0
4/14/2024,SKU_001,315,160.58,1
4/15/2024,SKU_001,125,193.55,0
4/16/2024,SKU_001,123,203.67,0
4/17/2024,SKU_001,138,199.33,0
4/18/2024,SKU_001,133,204.89,0
4/19/2024,SKU_001,124,193.91,0
4/20/2024,SKU_001,171,199.64,0
4/21/2024,SKU_001,174,204.6,0
4/22/2024,SKU_001,240,161.21,1
4/23/2024,SKU_001,136,199.28,0
4/24/2024,SKU_001,124,200.55,0
4/25/2024,SKU_001,149,201.34,0
4/26/2024,SKU_001,138,198.46,0
4/27/2024,SKU_001,170,200.52,0
4/28/2024,SKU_001,172,200.01,0
4/29/2024,SKU_001,143,203.79,0
4/30/2024,SKU_001,151,193.57,0
5/1/2024,SKU_001,125,196.38,0
5/2/2024,SKU_001,136,204.38,0
5/3/2024,SKU_001,114,203.66,0
