Date,Actual_Demand,XGBoost_Forecast,ETS_Forecast,LSTM_Forecast,XGBoost_Error
2023-12-01,542,602.8,718.3,666.3,-60.8
2023-12-02,474,629.7,690.9,677.1,-155.7
2023-12-03,586,636.1,693.0,693.4,-50.1
2023-12-04,613,697.8,689.7,728.7,-84.8
2023-12-05,416,658.9,717.5,731.9,-242.9
2023-12-06,263,658.9,701.9,724.3,-395.9
2023-12-07,530,630.1,736.6,726.9,-100.1
2023-12-08,611,616.5,718.9,703.2,-5.5
2023-12-09,508,609.9,691.6,674.0,-101.9
2023-12-10,1063,614.8,693.7,664.1,448.2
2023-12-11,381,629.2,690.4,654.9,-248.2
2023-12-12,785,636.1,718.1,660.1,148.9
2023-12-13,934,653.4,702.5,648.6,280.6
2023-12-14,727,673.7,737.2,669.6,53.3
2023-12-15,654,671.2,719.6,655.8,-17.2
2023-12-16,371,645.5,692.2,630.9,-274.5
2023-12-17,632,651.7,694.3,641.0,-19.7
2023-12-18,567,676.8,691.0,660.3,-109.8
2023-12-19,689,648.0,718.8,675.2,41.0
2023-12-20,333,647.0,703.2,680.0,-314.0
2023-12-21,634,657.9,737.9,717.6,-23.9
2023-12-22,953,655.5,720.2,718.7,297.5
2023-12-23,489,627.1,692.9,699.7,-138.1
2023-12-24,1012,633.2,695.0,708.5,378.8
2023-12-25,492,659.3,691.7,718.7,-167.3
2023-12-26,717,660.2,719.4,730.1,56.8
2023-12-27,792,657.0,703.8,711.7,135.0
2023-12-28,928,694.2,738.5,735.9,233.8
2023-12-29,538,677.4,720.9,705.2,-139.4
2023-12-30,295,648.5,693.5,663.2,-353.5
2023-12-31,483,595.4,695.6,627.7,-112.4
